orderitem_uuid,order_uuid,item_uuid
e2014ebd-13e9-4e4b-ba82-774583208679,7ab9e8f8-92e6-4a70-84d5-0b120fbb941f,8df487b0-a467-4a62-aa2c-236e0e13999d
186afcca-29c4-4def-adae-ca0168d2abf1,3a88e4ad-a8f9-48f1-8e32-c90ec0f4d8ac,d8cdf369-5e3b-4ca0-9737-1332aba16b63
98d56850-3660-4b6a-bad2-ff1865d1f4ac,b9bae9e2-e96e-48d3-9c83-ce05d439debd,d8cdf369-5e3b-4ca0-9737-1332aba16b63
d90dd053-4bee-4d8d-9408-d77ea86cf25f,3a88e4ad-a8f9-48f1-8e32-c90ec0f4d8ac,a9c67089-2ad2-47a6-b57c-6fbbdff1e45d
2bc1cdff-924d-4707-b9f7-fdac99c1eeac,29c3b6d2-8c7c-4e0e-8572-9e6d05000d95,8105bd32-3c23-44a0-a7a3-0303a7a3f34f
c43c727d-9bf2-4f73-acc6-b9d004069d52,a9b1b036-e1d4-47db-8457-bc82dcc74d78,85548861-4ae3-4160-b2fa-aa8bacb1a9b2
c673e819-13cc-405e-b6be-08a98eed3d4b,7ab9e8f8-92e6-4a70-84d5-0b120fbb941f,8105bd32-3c23-44a0-a7a3-0303a7a3f34f
38b50758-c546-42fb-b38d-a1f0a0ed9866,7ab9e8f8-92e6-4a70-84d5-0b120fbb941f,eb49a37e-71f6-4c69-9831-1f67864beb09
65cb4ff8-9c3f-4ada-8691-0d0ba061c82a,15830023-5c99-4c75-b65a-c2f9bd734662,09d30da1-c944-42e0-80a8-3d33abb260a1
085c9cec-c31d-4310-8f43-cfb97fd7c6ba,a9b1b036-e1d4-47db-8457-bc82dcc74d78,5c1ef1fd-7ca0-4326-a611-1dd8addb329f
01b8cecb-892d-4e1c-a6da-8de82a7550c8,ffcba7a1-1341-46f2-9152-12571affdcb7,09d30da1-c944-42e0-80a8-3d33abb260a1
483ba5cf-aa90-4af9-ba3a-5add7e03e948,ffcba7a1-1341-46f2-9152-12571affdcb7,9cce375b-39e1-4d32-9803-98697b2f4239
e6d1b5b0-d97b-4b60-a3bc-99f7deeac052,a9b1b036-e1d4-47db-8457-bc82dcc74d78,8b891bd5-22fb-401f-ac2b-df1c2e7a3ead
ab2e378a-84f8-48c7-aa9e-424a30a23c78,b9bae9e2-e96e-48d3-9c83-ce05d439debd,dcffca48-fc1c-4b7e-bdd9-93b163750a0d
26a54aad-bae2-4610-bdd6-c03f55e86b30,1f1699c9-4020-4920-9c1b-0a7b0bee5f5d,a9c67089-2ad2-47a6-b57c-6fbbdff1e45d
